文本,标记
"### 学士院

官司名",1
"### 翰林学士承旨 

差遣名、职事官名",2
"### 翰林学士 

差遣名、职事官名",2
"### 翰林学士•知制诰 

差遣名、职事官名",2
"### 直学士院 

差遣名、职事官名",2
"### 权直学士院 

差遣名、职事官名",2
"### 翰林权直 

职事官名",2
"### 学士院权直

职事官名",2
"### 员外学士 

北宋前期",2
"### 双宣学士

宋制",2
"### 翰林待诏 

职事官名",2
"### 入内内侍省 

内庭宦官署",1
"### 入内都知司

宦官所领署名",2
"### 东门都知司 

宦官所领署名",2
"### 入内内班院 

宋初宦寺名",1
"### 入内内班都知 

宦官名",2
"### 入内内班押班 

宦官名",2
"### 入内黄门班院 

宋初宦寺名",2
"### 入内黄门都知 

宦官名",2
"### 内侍省入内内侍班院 

宋初宦寺名",1
"### 内侍省入内内侍都知 

宋初宦官名",2
"### 内中高品班院

宋初宦寺名",1
"### 内中高品都知 

宦官名",2
"### 里面内班小底都知 

宦官名",2
"### 内中高品押班 

宦官名",2
"### 中黄门 

宋初低级宦官名",2
"### 入内内品 

宋初宦官名",2
"### 入内高班

宋初宦官名",2
"### 内中高品 

宋初宦官名",2
"### 入内高品 

即内中高品",2
"### 入内殿头高班

宦官名",2
"### 入内殿头高品

宋初宦官名",2
"### 入内殿头小底 

宦官名",2
"### 内中黄门小底

宦官名",2
"### 入内西头供奉官 

宋初宦官名",2
"### 入内供奉官 

宦官名",2
"### 入内高班内品 

宦官名",2
"### 入内内侍省都都知

宦官名",2
"### 入内内侍省都知司

宦寺名",2
"### 入内内侍省都知

宦官名",2
"### 知入内内侍省事 

即入内内侍省都知",2
"### 入内内侍省副都知

宦官名",2
"### 同知入内内侍省事 

宦官名",2
"### 入内内侍省押班 

宦官名",2
"### 签书入内内侍省事

宦官名",2
"### 内常侍

宦官加官名",2
"### 入内内侍省内侍班

入内省内侍官总名",2
"### 入内内侍省内东头供奉官 

宦官名",2
"### 入内内侍省内西头供奉官 

宦官名",2
"### 入内内侍省内侍殿头 

宦官名",2
"### 入内内侍省内侍高品 

宦官名",2
"### 入内内侍省内侍高班 

宦官名",2
"### 入内内侍省内侍黄门 

宦官名",2
"### 入内内侍省小黄门 

宦官名",2
"### 入内内侍省供奉官 

宦官名",2
"### 入内内侍省左侍禁

宦官名",2
"### 入内内侍省右侍禁 

宦官名",2
"### 入内内侍省左班殿直

宦官名",2
"### 入内内侍省右班殿直 

宦官名",2
"### 入内内侍省祗候班 

入内内侍省诸内品总名",1
"### 入内祇候殿头 

宦官名",2
"### 入内祇候侍禁 

即祇候殿头",2
"### 入内祇候高品 

宦官名",2
"### 入内祗候殿直 

即祗候高品",2
"### 入内祗候高班内品 

宦官名",2
"### 入内祇候黄门内品 

即祗候高班内品",2
"### 入内祗候内品 

宦官名",2
"### 入内祗候小内品 

宦官名",2
"### 入内贴祗候内品 

宦官名",2
"### 入内内品 

宦官名",2
"### 入内把门内品 

宦官名",2
"### 入内后苑内品 

宦官名",2
"### 入内后苑散内品 

宦官名",2
"### 入内北班内品 

宦官名",2
"### 入内后苑勾当事内品 

宦官名",2
"### 入内内侍省寄班 

寄班祇候、寄班供奉、寄班侍禁、寄班殿直、寄班奉职、寄班借职、寄班小底的总名",2
"### 云韶部 

乐司名",2
"### 云韶部内品 

黄门伶官名",2
"### 内侍省 

内庭宦官署",1
"### 内侍监 

宦官加官名",2
"### 内侍少监 

宦官加官名",2
"### 内侍 

宦官加官名",2
"### 内常侍

宦官加官名",2
"### 内给事 

宦官加官名",2
"### 内寺伯

宦官加官名",2
"### 宫教博士 

宦官名",2
"### 掖庭局令、丞 

宦官加官名",2
"### 宫闱局令、丞 

宦官加官名",2
"### 奚官局令、丞 

宦官加官名",2
"### 内仆局令、丞 

宦官加官名",2
"### 内府局令、丞

宦官加官名",2
"### 内班院 

宋初宦寺名",2
"### 内班院左班都知 

宦官名",2
"### 内班院右班都知 

宦官名",2
"### 内班院左、右班押班 

宦官名",2
"### 黄门院

宦寺名",2
"### 黄门院左班都知

宦官名",2
